id,name,description,source,color
official,International official finance,"International official financing includes the inflows and outflows related to official development assistance, other official flows, other flows from Development Finance Institutions and other long-term debt from commercial sources.","OECD DAC, Development Initiatives, World Bank International Debt Statistics",blue-light
commercial,Commercial resources,Commercial resources includes inflows and outflows related to foreign direct investment and portfolio equity.,,yellow-dark
private,Private resource,Private resources includes the inflows and outflows related to remittances and private development assistance,,red-dark
