id,name,color
cash-loan-equity,Cash (loan/equity),red
cash-grant,Cash grant,red-light
commodities-food,Commodities & Food,purple-lighter
gpgs-nngos,Global Initiatives & NNGOs,blue
mixed-project-aid,Mixed project aid,yellow
non-transfer,Non-transfer,orange
technical-ooperation,Technical cooperation,blue-darker
export-credit,Export credit,grey-darker
oof-grant,OOF Grant,blue
oof-loan,OOF Loan,orange
oof-export-credit, OOF Export Credit,red
