id,value
red,#e8443
red-light,#f0826d
red-lighter,#f8c1b2
red-dark,#bc2629
red-darker,#8f1b13
white,#ffffff
yellow,#f49b21
yellow-lighter,#fccc8e
yellow-light,#f9b865
yellow-dark,#e48a00
yellow-darker,#a85d00
orange,#eb642b
orange-lighter,#f6bb9d
orange-light,#f18e5e
orange-dark,#d85b31
orange-darker,#973915
pink,#c2135b
pink-lighter,#e4819b
pink-light,#d64278
pink-dark,#ad1257
pink-darker,#7e1850
purple,#893f90
purple-lighter,#c189bb
purple-light,#a45ea1
purple-dark,#7b3b89
purple-darker,#551f65
blue,#0089cc
blue-lighter,#88bae5
blue-light,#5da3d9
blue-dark,#0071b1
blue-darker,#0c457b
green,#109e68
green-lighter,#92cba9
green-light,#5ab88a
green-dark,#007851
green-darker,#007851
grey,#6a6569
grey-lighter,#a9a6aa
grey-light,#847e84
grey-dark,#555053
grey-darker,#443e42

