id,title,narrative,meta
explore,Explore and compare funding priorities for, ,
oofs, ,"The Other Official Flows (OOF) data shown does not include export credits and the quality and completeness of data is reliant on the reporting of OOF activities by individual donors to the CRS.",
click-boxes, ," Click the boxes to drill down into {aid} bundle. Drag and drop the buttons below to change the order and take different journeys through the data. Use the ’Compare +’ button to see how different countries’ {aid} bundles compare.",
devt,Development Initiatives based on OECD DAC data.,,
note,Note," Note that figures are rounded: precise data are available for download on the methodology page",
download,Download the data,,
more,,"For more information, see the DI data hub methodology page",
