id,name,description,color,uom,uomDisplay,start_year,end_year
data_series.non_grant_revenue_ppp_pc,"Government revenue per person (excluding grants), 2015 PPP$","Government revenue per person (excluding grants), 2015 PPP$.",blue-light,2015 PPP$,PPP$,1999,2015
data_series.poor_people_190,Number of people living in extreme poverty,"Extreme poverty is defined as living on less than $1.90 a day. It is calculated using the national poverty lines of some of the world's poorest countries at 2011 PPP$.",red,unit,,1999,2013

