id,title,narrative,meta
spotlight,,"Explore this in-depth profile to find out about poverty, population, education, health, water, sanitation and hygiene, and {region} public resources in {region}.",
not-donor,,"Explore this in-depth profile of {country} to find out overall levels of poverty, income distribution, division of wealth and more. Discover how national and sub-national revenue is generated.",
donor,,"Explore this in-depth profile of {country} to see the international resources it directs to developing countries. Get an overview of government spending, population and income distribution.",
